PubChem	conditionA	conditionA	conditionA	conditionA	conditionA	conditionA	conditionB	conditionB	conditionB	conditionB	conditionB	conditionB
12400	49280	45634	50921	55808	41484	49384	40993	50626	38303	46167	50805	48979
41518	62060	60885	68033	69068	55448	66161	55619	62269	52473	66034	63078	60734
22048	77820	74765	83933	86721	73546	77168	74208	80893	63424	83521	79503	74626
75546	86663	81283	95776	92590	81382	91247	75767	85223	68967	87312	87197	84078
13584	93645	94984	103892	96526	90010	95026	82345	96710	79439	100526	92924	88502
14259	95952	95687	109862	107496	95607	100926	87374	100144	80492	104030	102989	95768
8201	94646	91368	104341	105040	87675	100282	87491	93824	73385	99278	96729	89035
8181	205222	186979	222210	212895	198806	195126	182156	199891	152806	210086	203054	188387
31284	205886	185449	211953	215426	199781	193628	190682	212497	148996	211925	202714	205846
8139	214042	186271	214914	212017	199981	191983	189977	219380	161879	208494	200608	210648
8050	201492	172229	193059	184755	176730	174649	168811	199233	132486	177496	174142	193829
15606	178383	144060	171609	161905	157257	157357	149446	180886	122914	162277	154573	169053
8091	128203	96371	153175	110182	136184	138310	116467	147932	89584	134311	123758	142656
439205	446	353	311	375	482	345	256	308	322	222	205	235
6287	31857	23173	26674	33643	29746	31446	34425	33717	34219	33004	37987	30085
1176	4141	2816	4298	4672	3487	3441	5066	5793	4497	5475	5427	4627
1174	3179	657	217	414	6206	835	479	752	1114	328	297	503
445675	18187	13283	12251	16402	17299	15511	706	924	796	680	744	1036
17473	904	676	410	480	538	436	690	665	587	608	488	468
6057	28072	15108	17820	27745	24280	18083	19940	20846	21203	19761	20627	19234
6305	4567	3122	4225	4545	4666	5036	4241	4338	4062	3841	4524	3901
5810	529	485	414	314	535	365	258	569	232	248	260	599
6288	50237	34088	34500	39958	43738	36873	39124	46572	36413	32871	31402	41318
1123	125	67	101	97	90	96	86	85	114	76	73	76
439312	2148	1341	1549	1974	2120	1929	95	68	92	72	82	99
5988	280	2	51	34	208	72	159	23	56	464	79	173
1110	480	56	313	332	390	266	371	490	371	477	300	469
5281	100793	58386	87040	83558	96707	56752	76122	90819	94094	83482	64335	69459
5780	80314	66302	75077	76579	69928	69466	593	590	530	550	793	586
441432	4096	749	1517	2622	3625	3278	115	126	104	90	75	100
5951	18972	13045	13457	15732	17464	14187	24455	30880	19001	22601	18661	25945
6998	1732	642	673	1198	863	1017	784	1312	1860	2111	2190	974
33037	123	102	76	71	96	95	212	192	77	96	72	223
439184	323	393	369	400	230	242	129	114	136	137	118	129
439167	176	448	335	367	196	267	306	382	389	386	403	278
5779	365	393	374	473	398	386	203	261	262	152	217	230
827	1067	2570	2464	1030	525	2969	495	70	45	583	32	58
1023	230883	172344	118763	210355	212449	212662	102212	125476	83297	110194	89190	84623
1049	330	323	311	374	338	266	1190	1353	855	1393	1269	1203
10442	523	205	519	378	227	453	511	420	648	345	520	704
145742	46845	37633	30796	47265	35978	46459	47371	35877	55403	52335	52883	29635
1015	243	88	264	274	172	298	225	190	199	196	110	255
1005	372	301	266	297	293	331	475	373	619	409	410	446
1004	216250	209477	159889	185575	169768	160076	163137	158305	172086	113520	146524	152531
6140	11164	7573	7809	9700	9961	8402	11426	13459	10858	10285	11051	12589
13849	1235	807	1180	637	1854	1430	681	700	770	1551	1270	1201
8158	13792	8921	6259	11765	10489	8148	10076	12604	10931	13847	14548	14985
6613	808	761	604	659	690	781	883	1126	1135	844	917	974
445638	8051	6014	632	662	673	8001	805	921	596	729	506	795
985	10838	6342	8674	9571	9545	6150	7729	9370	9318	10579	8705	7029
7405	203547	159885	125698	251267	228065	184232	223636	331356	351532	302719	283735	280546
6262	7977	5419	7780	8069	7125	7159	7089	6901	6905	7210	7466	6589
445639	517	375	432	306	372	811	699	421	641	748	676	769
5283387	191	204	977	193	282	227	188	198	169	245	208	215
957	996	784	937	801	1039	885	1081	1067	1572	858	774	1194
8221	543	440	705	549	539	619	646	520	429	607	505	666
5288725	1757	1145	2784	1193	1180	3584	1361	1744	1368	1808	1658	1379
440552	348	280	483	549	418	341	248	201	116	244	335	244
65065	2787	2161	1882	1986	2527	2185	5311	6139	3752	5316	4546	4883
11005	13573	10847	11181	10727	12501	10263	11401	14054	9687	12152	9807	13138
892	1047	1009	1020	1722	1230	1095	1174	1175	992	1019	1660	1017
6137	4161	2958	2940	3706	3752	4297	4245	3622	4979	4592	4986	3485
