C00005	C00006
C00003	C00004
C00002	C00008
C00019	C00021
C00007	C00027
C00010	C00024
C00002	C00020
C00002	C00013
C00002	C00009
C00015	C00029
C00001	C00007
C00025	C00026
C00026	C00042
C00053	C00054
C00015	C00052
C00016	C01352
C00010	C00040
C00015	C00043
C00022	C00041
C00055	C00128
C00025	C00064
C00051	C00127
C00024	C00033
C00363	C11921
C00015	C00167
C00342	C00343
C00035	C00096
C00042	C00091
C00081	C00104
C00010	C00100
C00010	C00091
C00022	C00074
C00015	C00203
C00125	C00126
C00010	C00154
C00113	C01359
C00105	C00299
C00037	C00048
C00055	C00475
C00131	C00206
C00015	C00075
C00088	C00244
C00033	C00979
C00010	C00083
C00085	C00354
C00010	C00512
C00035	C00044
C00008	C00020
C00079	C00166
C00019	C00170
C00036	C00049
C00031	C00092
C00101	C00143
C00063	C00112
C00268	C00272
C00035	C00325
C00010	C00406
C00062	C00077
C00161	C05167
C00110	C03862
C00055	C00269
C00101	C00234
C00010	C00323
C00068	C05125
C00089	C00095
C00010	C00605
C00093	C00111
C00036	C00074
C00036	C00149
C00118	C00231
C00003	C00153
C00110	C01246
C00026	C00217
C00164	C00332
C00015	C00190
C00010	C00136
C00067	C00132
C00010	C00411
C00073	C00155
C00141	C00183
C00641	C01885
C00055	C00307
C00009	C00227
C00078	C00331
C00151	C00161
C00010	C00527
C00010	C00582
C00055	C00570
C00173	C00229
C00022	C00036
C00094	C00320
C00422	C00641
C00048	C00160
C00197	C00236
C00008	C00498
C00049	C00152
C00100	C00163
C00329	C00352
C00022	C00256
C00161	C00405
C00042	C00122
C00009	C00074
C00082	C00355
C00024	C00083
C00097	C00491
C00026	C00302
C00460	C01346
C00033	C00084
C00001	C00027
C00022	C00133
C00042	C01118
C00064	C00940
C00250	C00534
C00214	C00364
C00286	C00361
C00137	C01235
C00071	C00226
C00490	C00531
C00295	C00337
C00363	C00459
C00033	C01077
C00010	C00223
C00092	C00689
C00154	C05272
C00315	C00986
C01097	C03785
C01157	C04281
C00159	C00275
C01642	C02412
C00031	C04164
C05688	C05699
C06649	C06650
C01326	C01755
C00116	C00184
C00565	C01104
C00051	C03451
C00195	C02686
C00037	C00213
C00390	C00399
C00245	C00593
C00111	C00184
C00106	C00526
C00012	C03193
C00094	C00283
C00185	C01093
C00018	C00647
C00015	C00617
C00020	C00212
C00010	C00332
C00262	C00294
C00036	C00158
C00458	C00705
C01033	C03345
C00033	C00227
C00010	C00920
C00097	C02291
C00009	C00236
C00198	C00221
C00242	C00387
C00060	C00071
C00020	C00224
C00106	C00429
C00009	C00013
C05345	C05378
C00010	C01794
C00061	C00255
C00093	C00116
C00486	C00500
C00029	C00103
C00063	C00075
C00010	C00356
C00013	C00044
C00296	C00852
C00170	C01137
C00156	C00633
C00136	C00877
C00065	C00168
C00031	C00089
C00136	C00246
C00738	C02965
C00031	C00103
C00103	C00660
C00010	C00531
C00022	C00251
C00022	C00186
C00267	C00668
C00010	C05338
C00576	C00719
C00002	C01260
C00143	C00440
C00187	C02530
C00096	C00636
C00370	C01958
C00009	C00044
C00148	C03912
C00010	C00313
C00257	C06473
C00095	C00392
C00239	C00881
