PubChem_ID	KEGG_ID	Compound_Name	Condition_A_p_value	Condition_A_foldchange	Condition_B_p_value	Condition_B_foldchange	Condition_C_p_value	Condition_C_foldchange
92746	C05437	zymosterol	0.081472987	0.360788455	0.119741784	1.71332276	0.051174684	1.469711467
439205	C00312	xylulose NIST	0.141574892	0.483362522	0.098184373	0.856553026	0.038270512	0.693515434
135191	C00181	xylose	0.172130713	1.35643422	0.791855231	1.70951417	0.495957667	4.600313424
6912	C00379	xylitol	0.212573626	1.005043228	0.245073522	1.120801233	0.000839317	1.152887716
1188	C00385	xanthine	0.515409747	1.059771789	0.608351982	1.608816867	0.087619686	1.180326887
6287	C00183	valine	0.733622949	0.867440735	0.010884078	1.43109079	0.016318189	0.014836066
6029	C00299	uridine	0.434294279	1.170360111	0.839361684	1.28372093	0.000315705	1.932702606
1175	C00366	uric acid	0.138790625	4.530351438	0.54636851	1.819750068	0.291156959	3.936638436
1176	C00086	urea	0.004313007	0.375591328	0.191732866	1.357960946	0.03480275	44.45456731
1174	C00106	uracil	0.869702582	1.066633639	0.227249829	2.271264844	0.006974417	0.261296027
17473	C00167	UDP-glucuronic acid	0.000707711	0.38729095	0.040988173	1.016626115	7.95066E-05	57.91655524
445675	C00043	UDP GlcNAc	0.001937954	0.726140302	0.085853767	1.795918367	0.092359857	44.30123628
6057	C00082	tyrosine	0.366043011	1.191304348	0.012855835	1.370407928	0.002203495	0.035121104
6305	C00078	tryptophan	0.800265805	0.618005587	0.102532057	2.33837327	0.411565977	0.128122501
5810	C01157	trans-4-hydroxyproline	0.011744891	0.369492555	0.13271999	1.008264463	0.276194414	11.30023141
638015	C00376	tocopherol alpha-	0.372601102	1.679706601	0.551083203	3.867203219	0.033438992	1.479016569
1135	C00178	thymine	0.018827534	0.317050691	0.006019648	1.031839223	0.001080211	0.319725778
6288	C00188	threonine	0.422655367	1.383745981	0.02405031	0.795535714	0.000759613	0.056902885
5460407	C01620	threonic acid	0.4799008	1.269581056	0.46624504	0.960893855	0.280860913	0.971544619
1123	C00245	taurine	0.305417027	1.279220779	0.886665234	1.407162692	0.092479453	2.903129677
5988	C00089	sucrose	0.000406661	0.795215156	0.250852987	0.684126419	0.003561874	616.8599378
1110	C00042	succinic acid	0.578927056	1.039290317	0.377499427	0.780185139	0.145101801	0.652067342
5281	C01530	stearic acid	0.004866209	1.290218938	0.53461635	0.861751152	0.040346168	109.8629973
638072	C00751	squalene	0.390367414	1.38973384	0.506401684	1.665952891	0.210200485	1.297243739
1102	C00315	spermidine	0.3981039	0.626907074	0.136623072	0.827661114	0.728069736	0.34318446
5780	C00794	sorbitol	0.454737195	1.760204976	0.429676248	1.794096879	0.003011626	0.944889164
5951	C00065	serine	0.015221376	0.416985377	0.578449055	2.764050901	0.104041745	38.00241534
33037	C00818	saccharic acid	0.000429841	0.357720483	0.048979533	1.553498728	0.473842444	113.9481561
5779	C00121	ribose	0.422470894	0.827342963	0.292251186	1.324192852	0.000513801	0.691766439
5460677	C01685	ribonic acid	0.156389995	0.937560367	0.591236221	1.372527978	0.336337073	3.780524585
827	C00474	ribitol	0.852444693	1.253225398	0.77720059	0.928953941	0.000525667	0.911731397
439242	C00492	raffinose	0.49479207	0.802919249	0.579876298	0.277299358	0.022397712	1.171959562
1060	C00022	pyruvic acid	0.076792339	0.43974237	0.240858007	0.912951616	0.116892742	3.13648483
1023	C00013	pyrophosphate	0.360746738	1.037674216	0.017439256	1.634385779	0.355363118	0.048342102
1049	C00138	putrescine	0.728421108	1.732601047	0.806436141	3.095321229	0.313635097	1.107101553
15047	C02067	pseudo uridine	0.368636095	0.697568389	0.050794268	1.173333333	0.03682094	0.13778973
145742	C00148	proline	0.947664332	1.051383399	0.854192297	0.463212435	0.7060521	0.901365882
164619	C03844	pinitol	0.741976922	1.152567976	0.144608009	1.601769912	0.874343805	0.194895561
91493	C00345	phosphogluconic acid	0.166019118	0.554461774	0.982542008	4.402208202	0.000560168	5.918246161
1015	C00346	phosphoethanolamine	0.266932594	0.932735426	0.095796117	1.507183597	0.007850021	0.358877555
6140	C00079	phenylalanine	0.626123786	3.455966599	0.362019206	1.652637486	0.782504944	0.578191108
68144	C05598	phenaceturic acid	0.312331283	1.653225806	0.444134368	0.833333333	0.161026902	1.421997704
13849	C16537	pentadecanoic acid	0.76773045	1.063131313	0.745057898	1.136437247	0.021291035	0.970468082
8158	C01601	pelargonic acid	0.640746286	1.147217235	0.401061568	0.436527847	0.301786186	0.625928821
67126	C00802	parabanic acid NIST	0.790971023	0.736328125	0.583451713	0.964163823	0.057592261	0.737639807
6613	C12276	pantothenic acid	0.633065701	0.864902507	0.167095458	1.305498383	0.914600153	0.263946472
445638	C08362	palmitoleic acid	0.927279585	0.777724436	0.048280436	1.341757774	0.211985792	0.052066751
985	C00249	palmitic acid	0.864095312	0.907940555	0.440442364	0.801294785	7.93584E-06	0.509715026
7405	C01879	oxoproline	0.615881123	1.082519719	0.957857508	1.330007343	0.441826233	1.555263624
6262	C00077	ornithine	0.142240615	0.888773468	0.536408987	0.626076967	0.676401857	3.771137979
445639	C00712	oleic acid	0.630621784	0.9791283	0.083948274	0.945268753	0.022340687	0.133119845
5283387	C19670	oleamide NIST	0.060501706	0.874361153	0.549769273	0.7102332	0.178897055	9.08683923
3681		octadecylglycerol	0.021116939	0.802883101	0.023780654	0.147091413	0.041741694	1.126141146
8221		octadecanol	0.20130533	1.690862944	0.036498149	0.610191819	0.208715683	0.181307413
12591	C16535	nonadecanoic acid	0.34686596	1.384985154	0.836135409	1.084793634	0.357434312	2.410543282
936	C00153	nicotinamide	0.801953396	1.123763633	0.674637649	0.418083422	0.271604389	0.84124296
70914	C00624	n-acetylglutamate	0.27402088	1.143835519	0.005213131	0.083273522	0.007070225	0.019024575
24139	C03878	n-acetyl-d-hexosamine	0.000222843	1.467099439	0.007842967	1.208729505	0.032070037	35.19503077
35717		N-acetyl-D-galactosamine	0.269797293	1.219834036	0.559653924	1.776554761	0.03641215	2.074349662
65065	C01042	N-acetylaspartic acid	0.535027528	0.216314935	0.883907823	1.355522109	0.031616228	1.65207915
11005	C06424	myristic acid	0.086992858	0.900337578	0.010674136	1.929330832	0.100630835	0.12270129
79050		monomyristin	0.035358123	0.297740721	0.561571743	1.250369549	0.001005358	15.88239696
6137	C00073	methionine	0.119042246	1.20173603	0.752423042	0.82115199	0.045059114	6.320638818
13130		methanolphosphate	0.038467016	1.758079264	0.286103801	1.101909083	0.282928576	7.437639624
6251	C00392	mannitol	0.159034905	0.858225366	0.775456875	0.553356643	0.029037396	4.876016827
439186	C00208	maltose	0.317763151	1.645231635	0.388592937	0.411399973	0.194366678	1.222901193
525	C00711	malic acid	0.38147751	1.352957941	0.277463266	0.883269125	0.273533181	0.727338464
10935	C07272	maleimide	0.008058819	1.659602217	0.399665473	0.897858432	0.143066259	49.5935535
439255	C00532	lyxitol	0.711781685	1.246424709	0.936347973	0.907558046	0.639636684	1.315498829
5962	C00047	lysine	0.14720588	0.628205784	0.355752925	0.270312197	3.3859E-06	2.416703228
5280450	C01595	linoleic acid	0.058334211	6.083111702	0.041966869	0.422880635	0.077359165	0.719421217
11197	C08320	lignoceric acid	0.175736106	1.473625074	0.218294074	1.161180477	0.024596234	1.242169748
2724705		levoglucosan	0.436221168	2.147262429	0.606566516	0.619113963	0.084849232	1.390502251
6106	C00123	leucine	0.233347694	1.489878477	0.396073679	1.627184973	0.281265569	1.697354163
3893	C02679	lauric acid	0.941569938	1.368916529	0.196475924	1.316921657	0.059323409	0.208668434
11333	C07064	lactulose	0.042259645	1.998455965	0.923276853	0.669901997	0.089361817	21.84771905
440995	C00243	lactose	0.003284241	1.914584975	0.175164934	1.992762878	0.336709618	53.33497852
612	C01432	lactic acid	0.009376808	0.222775564	0.201661032	0.979643766	0.00921404	21.50636201
151152	C00639	isothreonic acid	0.001619094	0.377425044	0.819749708	1.798657718	0.00410207	506.301469
439193	C00252	isomaltose	0.302717359	0.334114889	0.106050722	0.688293889	0.067681578	0.350329173
6306	C00407	isoleucine	0.00587069	0.970082997	0.017196637	1.000341502	0.023856819	2.92923589
604		isohexonic acid	0.716813129	1.149503512	0.963271157	1.125957708	0.162969793	1.343824656
5318532	C00451	isocitric acid	0.413161775	1.275725594	0.313030525	1.508421986	0.003056159	0.757646384
440043	C03546	inositol-4-monophosphate	0.046110303	0.714409507	0.78149564	0.871954674	0.408572295	16.94839525
8582	C00130	inosine 5'-monophosphate	0.592937622	1.048934491	0.526397299	2.479447757	0.358208141	0.887778544
6021	C00294	inosine	0.156827228	0.561087866	0.091721668	0.803238866	0.049025039	0.584858058
790	C00262	hypoxanthine	0.924852745	2.278399393	0.17454497	1.383287709	0.256359614	0.188727309
787	C00192	hydroxylamine	0.282213685	0.78547118	0.220777126	2.547541406	0.279441264	0.782304821
6274	C00135	histidine	0.191393758	0.776361265	0.838467572	1.292209716	0.222112999	4.380851186
464	C01586	hippuric acid	0.286299211	1.181747993	0.343171747	1.190985756	0.014605938	1.198647197
152867		hexuronic acid	0.230041977	0.845033588	0.806207144	1.184224493	0.872048232	3.504608824
208	C02965	hexose-6-phosphate	0.956320456	0.928141285	0.173125659	0.769654088	0.001700795	0.181033102
453	C00392	hexitol	0.325638603	0.275652313	0.578984791	0.897139509	0.638450497	1.777998021
72733		hexadecylglycerol NIST	0.258313838	0.637736619	0.430769245	1.386051427	2.86267E-06	1.667619695
11006		hexadecane	0.353253392	0.779220779	0.282809595	0.882183187	0.811576464	0.800585645
10465		heptadecanoic acid	0.73106689	1.250798898	0.691740007	1.308298755	0.009103325	0.946206177
6802	C00387	guanosine	0.693456113	0.858704137	0.125223507	1.046764624	0.616119498	0.180578849
757	C00160	glycolic acid	0.10179812	1.205104915	0.706740631	0.893617021	0.173922837	6.942570569
763	C00581	glycocyamine	0.371797458	1.148760331	0.573030318	3.277847505	0.000203473	1.541243238
750	C00037	glycine	0.012254997	0.398824298	0.002235061	1.113636364	0.021564807	0.182379541
754	C03189	glycerol-alpha-phosphate	0.697415023	1.073913043	0.156226716	0.982522297	0.690059189	0.224008246
753	C00116	glycerol	0.439898975	1.207956919	0.554442156	0.725847539	0.542148781	1.260385198
439194	C00258	glyceric acid	0.945968136	0.679239176	0.841672568	4.313278008	2.2871E-06	0.889747271
743	C00489	glutaric acid	0.429087022	0.341902314	0.004405403	1.653594771	0.159158431	0.010266923
5961	C00064	glutamine	0.255234337	0.720472441	0.016173644	1.564782097	0.210642537	0.063367821
33032	C00025	glutamic acid	0.56812832	1.103075644	0.652177533	0.586467365	0.035809633	1.147940546
439427	C01172	glucose-6-phosphate	0.372927639	1.287157044	0.575274576	0.824742268	0.455268104	1.542590349
65533	C00103	glucose-1-phosphate	0.46791207	0.77540107	0.832609782	0.94744107	0.012189485	1.779415055
64689	C00221	glucose	0.179606073	1.030912587	0.049493869	1.842417062	0.437526666	0.275569017
128869	C00880	galactonic acid	0.353814419	1.03796034	0.297626033	0.670681349	0.023554608	0.841192493
11727586	C01235	galactinol	0.35981027	1.383259912	0.18204769	0.862815079	0.850907099	0.50595468
444972	C00122	fumaric acid	0.235548298	1.228874276	0.253410733	2.298304416	0.000956775	1.07583343
439650	C02095	fucose	0.020555606	2.282531194	0.662801205	1.649561391	0.034584874	32.24430321
440641	C05345	fructose-6-phosphate	0.174366866	0.758131687	0.154114521	1.293642785	0.045195157	0.883852104
439709	C02336	fructose	0.610565099	1.276539974	0.310296923	1.18204578	0.058463381	0.508212675
222285	C00503	erythritol	0.011005884	0.615831135	0.234712378	1.584379962	0.001980401	21.32608186
8193	C02277	dodecanol	0.092131825	0.718772054	0.128649628	2.136208369	0.856336414	1.396364694
66066	C12978	dihydrocholesterol	0.254058964	0.905710151	0.060827731	1.167017813	0.915255372	0.239423676
5280335		D-erythro-sphingosine	0.284628449	1.166184971	0.912774803	2.465790543	0.594432799	3.206899396
440667	C05422	dehydroascorbic acid	0.045565311	0.527982066	0.040720509	1.079074771	0.000118101	0.893673476
94391	C12078	dehydroabietic acid	0.610791862	1.432350718	0.937309566	1.250969334	0.043780165	1.534580967
595	C01420	cystine	0.280666733	0.998934281	0.229015876	4.674575578	0.003522207	0.815970862
5862	C00097	cysteine	0.001264963	0.315422886	0.009472899	1.196463654	0.473174288	7.488676245
588	C00791	creatinine	0.803021056	1.394951745	0.711901275	0.400178268	0.000582689	0.886528778
9989541		conduritol-beta-epoxide	0.38320896	1.028379937	0.22482695	3.12455516	0.586399091	0.58669544
9750	C00327	citrulline	0.959524325	0.352439024	0.016128838	1.959142395	0.027594258	0.016809202
311	C00158	citric acid	0.912853927	0.86045287	0.099759808	1.035785288	0.330469897	0.10928343
5997	C00187	cholesterol	0.025520364	1.128915663	0.493709816	2.254467036	0.00248279	19.34571972
6255	C01971	cellobiose	0.437102717	0.533093326	0.019415932	0.601503759	0.007229616	0.04441961
2969	C01571	capric acid	0.800111384	0.453900709	0.560538236	0.994534097	0.374436898	0.700575254
2526	C02979	beta-glycerolphosphate	0.657790178	1.222576741	0.744287921	1.085714286	0.056930826	1.131497467
239	C00099	beta-alanine	0.343336005	0.610047281	0.107633474	5.918518519	0.161164982	0.313493115
243	C00180	benzoic acid	0.060223735	0.407008086	0.021941091	1.237244898	0.081396622	0.364326296
8215	C08281	behenic acid	0.014879708	0.432607569	0.464454443	0.335526316	0.155954423	31.21394978
5960	C00049	aspartic acid	0.001067989	0.54076087	0.368901889	0.963133641	0.109715037	345.4173749
6267	C00152	asparagine	0.57291346	1.175	0.102131717	2.669169404	0.003336029	0.178267267
444899	C00219	arachidonic acid	0.192151678	0.494911135	0.2037502	0.572235674	0.004913844	1.060361283
10467	C06425	arachidic acid	0.039950256	1.795133438	0.708148194	0.99180701	0.735284223	17.72574877
100714	C00872	aminomalonate	0.331360242	0.962133333	0.496636175	1.731092437	0.000468256	1.498780215
51	C00026	alpha-ketoglutarate	0.465099602	1.847167325	0.354915856	1.42970297	0.516351721	0.763096451
203	C00499	allantoic acid	0.009390224	0.453670985	0.565614364	0.642818281	0.019140161	60.23438319
5950	C00041	alanine	0.142401941	1.537710736	0.757088485	1.280182232	0.014724141	5.316560162
196	C06104	adipic acid	0.278345371	0.878354204	0.418727175	1.297841727	0.078255383	1.504343949
6083	C00020	adenosine-5-monophosphate	0.32897226	0.764285714	0.177097839	0.736842105	0.001207171	0.538336695
60961	C00212	adenosine	0.01008413	0.704753758	0.429302059	0.972101449	0.009197466	42.57204824
190	C00147	adenine	0.986186251	0.81594533	0.750646719	1.404742281	0.031168089	0.761161209
643757	C00417	aconitic acid	0.002083254	0.532344772	0.244915053	1.836477987	0.693043191	117.5637147
441480	C08352	6-deoxyglucose	0.556756421	0.697580645	0.176669107	1.920352127	0.030485871	0.31731849
1833	C05659	5-methoxytryptamine	0.169808673	0.240024306	0.03880501	0.681790499	0.00768655	0.228521956
439176	C00170	5'-deoxy-5'-methylthioadenosine	0.098234842	1.202440775	0.07838878	0.999429782	0.00782327	0.797973294
138	C00431	5-aminovaleric acid	0.12686768	0.968781832	0.175054783	1.664919942	0.046499176	1.379821742
724	C00597	3-phosphoglycerate	0.054663423	0.543088399	0.338790538	2.928366762	0.031368363	6.197755595
92135	C01089	3-hydroxybutyric acid	0.447279261	0.424358974	0.049687861	0.897026831	0.011049403	0.111089124
1662	C03761	3-hydroxy-3-methylglutaric acid	0.193445777	1.331230284	0.33476205	1.93063945	0.089219348	1.730521367
123409		2-monopalmitin	0.070952136	1.073805751	0.15067501	1.559027778	0.196400279	2.123614855
5319879		2-monoolein	0.337110483	0.723880597	0.226292333	1.137022788	0.000769502	0.671270531
70	C00233	2-ketoisocaproic acid	0.563619052	0.6900369	0.549129209	1.673220974	0.277877105	0.974291424
43	C02630	2-hydroxyglutaric acid	0.001231757	0.537873523	0.050070365	4.371669004	0.000801954	40.64953486
250402		"2,3-dihydroxybutanoic acid NIST"	0.16893642	0.948562784	0.011847117	1.973684211	0.061906315	0.070127665
24699	D01947	1-monostearin	0.298688157	2.12195122	0.02930223	2.691318328	0.001443047	0.098103088
14900	C01885	1-monopalmitin	0.460722579	1.074074074	0.000316354	4.844660194	7.4824E-05	0.000686648
2682	C00823	1-hexadecanol	0.633450941	1.042372881	0.304486704	0.232390505	0.553980843	0.480679219
